site_id,donor_id,type,utme_noise,utmn_noise
70134,72996,translocation,302526,4199505
70370,72996,translocation,294179,4207484
70413,70567,translocation,297945,4175316
70414,72996,translocation,286003,4196273
70449,72996,translocation,286341,4201796
70459,70459,donor,302332,4187010
70505,72996,translocation,286611,4207571
70550,72996,translocation,296936,4200664
70556,70459,translocation,303020,4188121
70567,70567,donor,295541,4179323
70619,72996,translocation,294875,4212543
70628,72996,translocation,290175,4214770
70641,72996,translocation,293002,4198024
72996,72996,donor,295788,4203327
74976,70459,translocation,298657,4180851
