site_id,survey_date,survey_type,primary_period,secondary_period
74976,2018-07-18,translocation,1,0
74976,2018-08-17,cmr,2,1
74976,2018-08-18,cmr,2,2
74976,2018-08-19,cmr,2,3
74976,2019-07-31,cmr,3,1
74976,2019-08-01,cmr,3,2
74976,2019-08-02,cmr,3,3
74976,2020-07-01,cmr,4,1
74976,2020-07-02,cmr,4,2
74976,2020-07-03,cmr,4,3
74976,2020-07-06,translocation,5,0
74976,2020-08-20,cmr,6,1
74976,2020-08-21,cmr,6,2
74976,2020-08-22,cmr,6,3
74976,2021-06-25,cmr,7,1
74976,2021-06-26,cmr,7,2
74976,2021-06-27,cmr,7,3
74976,2021-08-18,cmr,8,1
74976,2021-08-19,cmr,8,2
74976,2021-08-20,cmr,8,3
