years_since_introduction,release_date,pit_tag_id,lo_survival,median_survival,hi_survival
0,2020-07-09,900043000144407,1,1,1
0,2020-07-09,900043000144411,1,1,1
0,2020-07-09,900043000144430,0,0,1
0,2020-07-09,900043000144451,1,1,1
0,2020-07-09,900043000144466,1,1,1
0,2020-07-09,900043000144468,1,1,1
0,2020-07-09,900043000144487,1,1,1
0,2020-07-09,900043000144670,1,1,1
0,2020-07-09,900067000116989,1,1,1
0,2020-07-09,900067000117058,1,1,1
0,2020-07-09,900067000117096,1,1,1
0,2020-07-09,900067000117103,1,1,1
0,2020-07-09,900067000117120,1,1,1
0,2020-07-09,900067000117134,1,1,1
0,2020-07-09,900067000117135,1,1,1
0,2020-07-09,900067000117159,1,1,1
0,2020-07-09,900067000117219,1,1,1
0,2020-07-09,900067000117361,1,1,1
1,2018-08-16,900043000144415,1,1,1
1,2018-08-16,900043000144416,1,1,1
1,2018-08-16,900043000144426,1,1,1
1,2018-08-16,900043000144427,1,1,1
1,2018-08-16,900043000144446,1,1,1
1,2018-08-16,900043000144447,1,1,1
1,2018-08-16,900043000144463,1,1,1
1,2018-08-16,900043000144465,0,0,1
1,2018-08-16,900043000144471,1,1,1
1,2018-08-16,900043000144480,0,0,1
1,2018-08-16,900043000144482,1,1,1
1,2018-08-16,900067000117311,1,1,1
1,2018-08-16,900067000117332,1,1,1
1,2018-08-16,900067000117357,0,0,1
1,2018-08-16,900067000117359,1,1,1
1,2018-08-16,900067000117392,1,1,1
1,2018-08-16,900067000117401,1,1,1
1,2018-08-16,900067000117402,0,0,1
1,2018-08-16,900067000117408,1,1,1
1,2018-08-16,900067000117422,0,0,1
1,2018-08-16,900067000117424,0,0,1
1,2018-08-16,900067000117430,0,0,1
1,2018-08-16,900067000117431,1,1,1
1,2018-08-16,900067000117435,1,1,1
1,2018-08-16,900067000117447,0,0,1
1,2018-08-16,900067000117454,1,1,1
1,2018-08-16,900067000117460,1,1,1
1,2018-08-16,900067000117463,1,1,1
1,2018-08-16,900067000117464,1,1,1
1,2018-08-16,900067000117473,1,1,1
1,2020-07-09,900043000144407,1,1,1
1,2020-07-09,900043000144411,1,1,1
1,2020-07-09,900043000144430,0,0,1
1,2020-07-09,900043000144451,1,1,1
1,2020-07-09,900043000144466,0,0,1
1,2020-07-09,900043000144468,0,0,1
1,2020-07-09,900043000144487,0.5,1,1
1,2020-07-09,900043000144670,1,1,1
1,2020-07-09,900067000116989,1,1,1
1,2020-07-09,900067000117058,0.5,1,1
1,2020-07-09,900067000117096,0.5,1,1
1,2020-07-09,900067000117103,1,1,1
1,2020-07-09,900067000117120,0,0,1
1,2020-07-09,900067000117134,1,1,1
1,2020-07-09,900067000117135,1,1,1
1,2020-07-09,900067000117159,1,1,1
1,2020-07-09,900067000117219,0,0,1
1,2020-07-09,900067000117361,0.5,1,1
2,2018-08-16,900043000144415,0,0,0
2,2018-08-16,900043000144416,1,1,1
2,2018-08-16,900043000144426,0,0,0
2,2018-08-16,900043000144427,0,0,0
2,2018-08-16,900043000144446,1,1,1
2,2018-08-16,900043000144447,1,1,1
2,2018-08-16,900043000144463,1,1,1
2,2018-08-16,900043000144465,0,0,0
2,2018-08-16,900043000144471,0,0,0
2,2018-08-16,900043000144480,0,0,0
2,2018-08-16,900043000144482,1,1,1
2,2018-08-16,900067000117311,1,1,1
2,2018-08-16,900067000117332,1,1,1
2,2018-08-16,900067000117357,0,0,0
2,2018-08-16,900067000117359,1,1,1
2,2018-08-16,900067000117392,1,1,1
2,2018-08-16,900067000117401,0,0,0
2,2018-08-16,900067000117402,0,0,0
2,2018-08-16,900067000117408,1,1,1
2,2018-08-16,900067000117422,0,0,0
2,2018-08-16,900067000117424,0,0,0
2,2018-08-16,900067000117430,0,0,0
2,2018-08-16,900067000117431,0,0,0
2,2018-08-16,900067000117435,1,1,1
2,2018-08-16,900067000117447,0,0,0
2,2018-08-16,900067000117454,1,1,1
2,2018-08-16,900067000117460,0,0,0
2,2018-08-16,900067000117463,0,0,0
2,2018-08-16,900067000117464,1,1,1
2,2018-08-16,900067000117473,1,1,1
3,2018-08-16,900043000144415,0,0,0
3,2018-08-16,900043000144416,0.5,1,1
3,2018-08-16,900043000144426,0,0,0
3,2018-08-16,900043000144427,0,0,0
3,2018-08-16,900043000144446,1,1,1
3,2018-08-16,900043000144447,1,1,1
3,2018-08-16,900043000144463,1,1,1
3,2018-08-16,900043000144465,0,0,0
3,2018-08-16,900043000144471,0,0,0
3,2018-08-16,900043000144480,0,0,0
3,2018-08-16,900043000144482,1,1,1
3,2018-08-16,900067000117311,1,1,1
3,2018-08-16,900067000117332,1,1,1
3,2018-08-16,900067000117357,0,0,0
3,2018-08-16,900067000117359,1,1,1
3,2018-08-16,900067000117392,1,1,1
3,2018-08-16,900067000117401,0,0,0
3,2018-08-16,900067000117402,0,0,0
3,2018-08-16,900067000117408,1,1,1
3,2018-08-16,900067000117422,0,0,0
3,2018-08-16,900067000117424,0,0,0
3,2018-08-16,900067000117430,0,0,0
3,2018-08-16,900067000117431,0,0,0
3,2018-08-16,900067000117435,1,1,1
3,2018-08-16,900067000117447,0,0,0
3,2018-08-16,900067000117454,1,1,1
3,2018-08-16,900067000117460,0,0,0
3,2018-08-16,900067000117463,0,0,0
3,2018-08-16,900067000117464,1,1,1
3,2018-08-16,900067000117473,0,0,1
