years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2015-08-12,0.30303030303030304,0.5555555555555556,0.9696969696969697
0,2017-08-09,0.3448275862068966,0.6724137931034483,0.9655172413793104
0,2020-08-05,0.23333333333333334,0.6333333333333333,1
1,2015-08-12,0.1717171717171717,0.2727272727272727,0.48484848484848486
1,2017-08-09,0.06896551724137931,0.15517241379310345,0.4482758620689655
1,2020-08-05,0.013333333333333334,0.07333333333333333,0.24
2,2015-08-12,0.01818181818181818,0.03838383838383838,0.09898989898989899
2,2017-08-09,0.034482758620689655,0.10344827586206896,0.3103448275862069
3,2015-08-12,0,0,0.025252525252525252
3,2017-08-09,0.034482758620689655,0.05747126436781609,0.1724137931034483
4,2015-08-12,0,0,0.020202020202020204
4,2017-08-09,0,0,0.034482758620689655
5,2015-08-12,0,0,0.010101010101010102
6,2015-08-12,0,0,0
