STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,M,3,SNOW WC,19260101 0000,19260107 0000,6.2,,INCHES
DAN,M,3,SNOW WC,19260301 0000,19260218 0000,14.8,,INCHES
DAN,M,3,SNOW WC,19260501 0000,19260423 0000,17.4,,INCHES
DAN,M,3,SNOW WC,19270401 0000,19270406 0000,38.7,,INCHES
DAN,M,3,SNOW WC,19280401 0000,19280329 0000,20,,INCHES
DAN,M,3,SNOW WC,19290401 0000,19290402 0000,16,,INCHES
DAN,M,3,SNOW WC,19300401 0000,19300327 0000,18.2,,INCHES
DAN,M,3,SNOW WC,19310401 0000,19310327 0000,13.1,,INCHES
DAN,M,3,SNOW WC,19320401 0000,19320324 0000,41.1,,INCHES
DAN,M,3,SNOW WC,19330401 0000,19330325 0000,22.9,,INCHES
DAN,M,3,SNOW WC,19340401 0000,19340325 0000,18.5,,INCHES
DAN,M,3,SNOW WC,19350401 0000,19350325 0000,29.5,,INCHES
DAN,M,3,SNOW WC,19360401 0000,19360323 0000,35.1,,INCHES
DAN,M,3,SNOW WC,19370401 0000,19370402 0000,42.2,,INCHES
DAN,M,3,SNOW WC,19380401 0000,19380330 0000,40.6,,INCHES
DAN,M,3,SNOW WC,19390401 0000,19390401 0000,17.9,,INCHES
DAN,M,3,SNOW WC,19390501 0000,19390503 0000,9.6,,INCHES
DAN,M,3,SNOW WC,19400401 0000,19400404 0000,35.1,,INCHES
DAN,M,3,SNOW WC,19410401 0000,19410329 0000,38.2,,INCHES
DAN,M,3,SNOW WC,19420401 0000,19420331 0000,35.8,,INCHES
DAN,M,3,SNOW WC,19430401 0000,19430331 0000,37.5,,INCHES
DAN,M,3,SNOW WC,19440401 0000,19440401 0000,26.4,,INCHES
DAN,M,3,SNOW WC,19450401 0000,19450331 0000,39.3,,INCHES
DAN,M,3,SNOW WC,19460401 0000,19460329 0000,29,,INCHES
DAN,M,3,SNOW WC,19470401 0000,19470325 0000,24.7,,INCHES
DAN,M,3,SNOW WC,19480401 0000,19480331 0000,21.1,,INCHES
DAN,M,3,SNOW WC,19490401 0000,19490329 0000,26.5,,INCHES
DAN,M,3,SNOW WC,19500401 0000,19500330 0000,29.2,,INCHES
DAN,M,3,SNOW WC,19510401 0000,19510329 0000,30,,INCHES
DAN,M,3,SNOW WC,19520201 0000,19520201 0000,35.2,,INCHES
DAN,M,3,SNOW WC,19520401 0000,19520331 0000,46.6,,INCHES
DAN,M,3,SNOW WC,19530201 0000,19530131 0000,20.2,,INCHES
DAN,M,3,SNOW WC,19530401 0000,19530401 0000,25.1,,INCHES
DAN,M,3,SNOW WC,19540201 0000,19540131 0000,12.6,,INCHES
DAN,M,3,SNOW WC,19540401 0000,19540329 0000,29.1,,INCHES
DAN,M,3,SNOW WC,19550201 0000,19550127 0000,16.3,,INCHES
DAN,M,3,SNOW WC,19550401 0000,19550330 0000,21.2,,INCHES
DAN,M,3,SNOW WC,19560201 0000,19560203 0000,45.2,,INCHES
DAN,M,3,SNOW WC,19560401 0000,19560328 0000,45.4,,INCHES
DAN,M,3,SNOW WC,19570201 0000,19570130 0000,8.6,,INCHES
DAN,M,3,SNOW WC,19570401 0000,19570327 0000,20.8,,INCHES
DAN,M,3,SNOW WC,19580201 0000,19580129 0000,14.2,,INCHES
DAN,M,3,SNOW WC,19580401 0000,19580327 0000,36.2,,INCHES
DAN,M,3,SNOW WC,19590201 0000,19590128 0000,8.5,,INCHES
DAN,M,3,SNOW WC,19590401 0000,19590331 0000,18.4,,INCHES
DAN,M,3,SNOW WC,19600201 0000,19600126 0000,6.8,,INCHES
DAN,M,3,SNOW WC,19600401 0000,19600330 0000,21.3,,INCHES
DAN,M,3,SNOW WC,19610201 0000,19610125 0000,9.3,,INCHES
DAN,M,3,SNOW WC,19610401 0000,19610329 0000,19.8,,INCHES
DAN,M,3,SNOW WC,19620201 0000,19620129 0000,13,,INCHES
DAN,M,3,SNOW WC,19620401 0000,19620327 0000,35.8,,INCHES
DAN,M,3,SNOW WC,19630301 0000,19630226 0000,17.8,,INCHES
DAN,M,3,SNOW WC,19630401 0000,19630326 0000,22.2,,INCHES
DAN,M,3,SNOW WC,19640201 0000,19640128 0000,11.2,,INCHES
DAN,M,3,SNOW WC,19640401 0000,19640331 0000,15.7,,INCHES
DAN,M,3,SNOW WC,19650201 0000,19650128 0000,29.6,,INCHES
DAN,M,3,SNOW WC,19650401 0000,19650330 0000,35,,INCHES
DAN,M,3,SNOW WC,19660201 0000,19660201 0000,19.5,,INCHES
DAN,M,3,SNOW WC,19660401 0000,19660329 0000,22.4,,INCHES
DAN,M,3,SNOW WC,19670201 0000,19670201 0000,29.6,,INCHES
DAN,M,3,SNOW WC,19670401 0000,19670329 0000,36.3,,INCHES
DAN,M,3,SNOW WC,19670501 0000,19670502 0000,47.7,,INCHES
DAN,M,3,SNOW WC,19670601 0000,19670601 0000,38,,INCHES
