site_id,visit_date,survey_type,capture_life_stage,capture_animal_state,pit_tag_ref,sex
70550,2014-06-24,cmr,adult,healthy,900043000104478,f
70550,2014-07-16,cmr,adult,healthy,900043000104478,f
70550,2014-07-16,cmr,adult,healthy,985121019093915,m
70550,2006-09-14,cmr,adult,healthy,118001058990,f
70550,2006-08-31,cmr,adult,healthy,118001058990,f
70550,2009-07-06,cmr,adult,healthy,118001058990,f
70550,2010-08-13,cmr,adult,healthy,118001058990,f
70550,2012-06-16,cmr,adult,healthy,118001058990,f
70550,2012-07-15,cmr,adult,healthy,118001058990,f
70550,2012-08-29,cmr,adult,healthy,118001058990,f
70550,2013-06-28,cmr,adult,healthy,900118001060333,f
70550,2006-08-13,cmr,adult,healthy,900118001060333,f
70550,2007-07-01,cmr,adult,healthy,900118001060333,f
70550,2007-07-31,cmr,adult,healthy,900118001060333,f
70550,2013-07-29,cmr,adult,sick,118001058990,NA
70550,2016-07-13,cmr,adult,healthy,900067000078313,m
70505,2014-07-14,cmr,adult,healthy,900043000104445,f
70505,2013-07-26,cmr,adult,healthy,118001029658,f
70550,2013-08-26,cmr,adult,healthy,118001028687,m
70505,2013-08-02,cmr,adult,healthy,900118001027865,m
70550,2013-08-27,cmr,adult,healthy,118001057978,f
70550,2013-07-31,cmr,adult,healthy,900118001057958,f
70550,2013-08-26,cmr,adult,healthy,118001028832,NA
70550,2013-09-10,cmr,adult,healthy,900118001057407,NA
70550,2013-09-10,cmr,adult,healthy,900118001029442,NA
70550,2013-08-28,cmr,adult,healthy,900118001027569,NA
70550,2013-08-27,cmr,adult,healthy,900118001031019,NA
70550,2006-08-13,cmr,adult,healthy,091550049,m
70550,2016-08-12,cmr,adult,healthy,900067000078066,m
70550,2016-07-13,cmr,adult,healthy,982000362395829,f
70505,2012-08-14,cmr,subadult,healthy,985121019074457,NA
70505,2012-08-14,cmr,subadult,healthy,985121019100487,NA
70505,2012-08-14,cmr,subadult,healthy,985121019096417,NA
70505,2012-08-14,cmr,subadult,healthy,985121019076087,NA
70550,2010-09-07,cmr,adult,healthy,985121013713983,f
70505,2012-08-14,cmr,subadult,healthy,985121019057083,NA
70505,2012-08-14,cmr,subadult,healthy,985121019091577,NA
70505,2014-08-09,cmr,adult,healthy,900043000104483,m
70550,2014-08-10,cmr,adult,healthy,900043000104404,f
70550,2014-08-10,cmr,adult,healthy,900043000104405,m
70449,2014-08-08,cmr,adult,healthy,900043000104590,f
70449,2014-08-08,cmr,adult,healthy,900043000104594,m
70413,2014-08-08,cmr,adult,healthy,900118001027669,m
70449,2014-08-08,cmr,adult,healthy,900118001027772,f
70413,2014-08-08,cmr,adult,healthy,900118001028117,f
70413,2014-08-08,cmr,adult,healthy,900118001028329,m
70413,2014-08-08,cmr,adult,healthy,900118001028945,f
70279,2014-08-08,cmr,adult,healthy,900118001029064,f
70413,2014-08-08,cmr,adult,healthy,900118001029071,f
70505,2015-06-22,cmr,adult,healthy,900043000104597,f
72093,2014-08-08,cmr,adult,healthy,900118001029179,m
72093,2014-08-08,cmr,adult,healthy,900118001029717,f
