relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091603798,m,48,11,RKS3826,43584
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,090852530,m,49,12,RKS3739,26016
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091593803,f,54,15,RKS4182,528
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091525022,f,56,17,RKS4181,1344.0000000000002
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080050269,m,48,10,RKS4180,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080054113,m,50,14,RKS4172,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091557864,f,48,11,RKS4164,432
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091585885,f,54,15,RKS4157,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091567092,f,51,12,RKS4156,144
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080048850,f,50,14,RKS3835,26687.999999999996
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091024289,f,51,14,RKS3834,11184
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091529283,f,58,18,RKS3833,1200
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091592591,m,48,10,RKS3832,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091558058,f,51,12,RKS3831,33264
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091382828,f,47,11,RKS3830,16176
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091034029,f,54,14,RKS3829,22752
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091523602,m,51,11,RKS3828,484272
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091602591,m,48,12,RKS3827,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091528519,m,56,19,RKS3746,4944
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091581524,f,53,17,RKS3745,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091007632,m,52,12,RKS3744,48
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091536862,m,49,10,RKS3743,16224
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091024307,f,52,14,RKS3742,6000
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091059098,f,49,10,RKS3740,2352
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,090894361,m,51,16,RKS3824,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091104058,f,47,9,RKS3725,3648
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091124286,f,56,15,RKS3726,37296
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091516832,m,48,9,RKS3727,912
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080051294,f,56,18,RKS3728,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,090867313,m,49,12,RKS3729,32640
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091067532,m,50,12,RKS3730,44016
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091106639,f,54,14,RKS3731,16608
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080055046,m,54,13,RKS3732,393072
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,080058318,m,45,7,RKS3733,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091022607,f,55,15,RKS3734,18816
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,090876364,f,54,14,RKS3735,0
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091530312,m,54,16,RKS3736,72768
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091058003,m,46,9,RKS3737,7296
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091572817,m,52,15,RKS3738,8496
50dd3d69-8c7c-4504-82f7-a5c99e278b9d,70134,2006-08-08,72996,translocation,091358025,f,51,12,RKS3825,144
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001059382,m,50,15,RKS16396,0
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001030336,f,57,20,RKS16397,672.0000000000001
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001057650,f,64,38,RKS16398,4944
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,985121019071757,f,59,22,RKS16399,0
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001029608,f,53,18,RKS16400,0
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440276,m,59,19,RKS18251,55909.44
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001028253,m,52,16,RKS16407,192
