site_id,visit_date,species,visual_life_stage,visual_animal_state,count
70550,2008-09-07,ramu,subadult,alive,7
70550,2008-09-07,ramu,subadult,alive,12
70550,2008-09-07,ramu,subadult,alive,3
70550,2009-08-19,ramu,subadult,alive,6
70550,2009-08-19,ramu,subadult,alive,4
70550,2009-08-19,ramu,subadult,alive,3
70550,2009-08-19,ramu,subadult,alive,2
70550,2009-09-01,ramu,subadult,alive,5
70550,2009-09-01,ramu,subadult,alive,30
70550,2009-09-15,ramu,subadult,alive,1
70550,2009-09-15,ramu,subadult,alive,1
70550,2009-09-15,ramu,subadult,alive,5
70550,2009-09-15,ramu,subadult,alive,3
70550,2010-07-20,ramu,subadult,alive,5
70550,2010-08-13,ramu,subadult,alive,4
70550,2010-09-07,ramu,subadult,alive,13
70550,2010-09-07,ramu,subadult,alive,4
70550,2010-09-07,ramu,subadult,alive,8
70550,2010-09-07,ramu,subadult,alive,3
70550,2012-07-15,ramu,subadult,alive,7
70550,2012-08-29,ramu,subadult,alive,14
70550,2012-08-29,ramu,subadult,alive,1
70550,2012-08-29,ramu,subadult,alive,26
70550,2013-06-28,ramu,subadult,alive,18
70550,2014-06-24,ramu,subadult,alive,6
70550,2014-07-14,ramu,subadult,alive,25
70550,2014-07-14,ramu,subadult,alive,20
70550,2014-08-10,ramu,subadult,alive,15
70550,2014-08-10,ramu,subadult,alive,5
70550,2014-08-10,ramu,subadult,alive,3
70550,2014-08-10,ramu,subadult,alive,20
70550,2014-09-07,ramu,subadult,alive,3
70550,2014-09-07,ramu,subadult,alive,5
70550,2014-09-07,ramu,subadult,alive,10
70550,2015-08-04,ramu,subadult,alive,100
70550,2015-08-04,ramu,subadult,alive,20
70550,2015-08-04,ramu,subadult,alive,100
70550,2015-09-02,ramu,subadult,alive,100
70550,2015-09-02,ramu,subadult,alive,100
70550,2015-09-02,ramu,subadult,alive,80
70550,2015-09-02,ramu,subadult,alive,10
70550,2016-07-12,ramu,subadult,alive,49
70550,2016-07-12,ramu,subadult,alive,4
70550,2016-07-12,ramu,subadult,alive,23
70550,2016-08-10,ramu,subadult,alive,34
70550,2016-08-10,ramu,subadult,alive,2
70550,2016-08-10,ramu,subadult,alive,10
70550,2016-08-10,ramu,subadult,alive,2
70550,2017-08-09,ramu,subadult,alive,27
70550,2017-08-09,ramu,subadult,alive,5
70550,2017-08-09,ramu,subadult,alive,2
70550,2018-08-13,ramu,subadult,alive,1
70550,2018-08-13,ramu,subadult,alive,33
70550,2018-08-13,ramu,subadult,alive,3
70550,2018-08-13,ramu,subadult,alive,17
70550,2019-07-30,ramu,subadult,alive,2
70550,2019-07-30,ramu,subadult,alive,4
70550,2019-07-30,ramu,subadult,alive,12
70550,2019-07-30,ramu,subadult,alive,1
70550,2020-06-30,ramu,subadult,alive,6
70550,2020-06-30,ramu,subadult,alive,1
70550,2020-08-26,ramu,subadult,alive,88
70550,2020-08-26,ramu,subadult,alive,15
70550,2020-08-26,ramu,subadult,alive,67
70550,2021-06-22,ramu,subadult,alive,5
70550,2021-06-22,ramu,subadult,alive,7
70550,2021-06-22,ramu,subadult,alive,2
70550,2021-06-22,ramu,subadult,alive,22
70550,2021-08-15,ramu,subadult,alive,67
70550,2021-08-15,ramu,subadult,alive,1
70550,2021-08-15,ramu,subadult,alive,85
70550,2021-08-15,ramu,subadult,alive,136
70550,2022-06-20,ramu,subadult,alive,27
70550,2022-06-20,ramu,subadult,alive,1
70550,2022-06-20,ramu,subadult,alive,18
70550,2022-06-20,ramu,subadult,alive,4
70550,2022-08-15,ramu,subadult,alive,173
70550,2022-08-15,ramu,subadult,alive,60
70550,2022-08-15,ramu,subadult,alive,31
70550,2022-08-15,ramu,subadult,alive,180
